Model,Model Desc,Product Type,Product Sub-Type,Brand,Ext. MSRP,Class,Qty,Price,Total Amt,MSRP
KRFC704FBS,"72"" COUNTERDEPTH FRENCH DOOR EXTERNAL I/",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,4399,B,1,1320,1320,4399
WRF736SDAW,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,4398,B,2,660,1320,2199
KRFC604FSS,"72"" COUNTERDEPTH FRENCH DOOR EXTERNAL I/",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3999,B,1,1200,1200,3999
KRMF706ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3899,B,1,1170,1170,3899
WRF993FIFM,32' 3X EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3699,B,1,1110,1110,3699
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3598,B,2,540,1080,1799
GI0FSAXVY,WHIRLPOOL ICELAND FDBM 20 CU FT,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3199,B,1,960,960,3199
KRFF507ESS,27' EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2999,B,1,900,900,2999
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2299,B,1,690,690,2299
KRFF305EBS,"36"" WIDE 25' FDBM W/ INT WATER",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2199,B,1,660,660,2199
WRF540CWBM,"36"" WIDE CD FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2099,B,1,630,630,2099
MFW2055FRZ,"20 CF, 30"" FDBM AFP I.M. EXT. DISPENSER",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,1899,B,1,570,570,1899
WRT311FZDW,"21' TM, FLAT,WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1898,B,2,285,570,949
WRT138FZDM,"18' ESTAR, WIRE TM, SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1798,B,2,270,540,899
MFF2558FEW,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,1699,B,1,510,510,1699
WRT318FZDM,"18'FLAT DR, GLASS TOP MOUNT, SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1698,B,2,255,510,849
MSS26C6MFZ,REFRIGERATOR 26 CUFT IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,MAY,1599,B,1,480,480,1599
WRS335FDDM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1499,B,1,450,450,1499
WRB329DMBM,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1499,B,1,450,450,1499
MZF34X18FW,18' UPRIGHT FRZ FROST FREE.MAY,Free Standing Freezer,No Frost Vert - Free Standing Frez,GDR,1498,B,2,255,510,749
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1399,B,1,420,420,1399
WRS322FDAM,REFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1199,B,1,360,360,1199
WRS325FNAW,REFRIGERATOR 25 CUFT DISP SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1099,B,1,330,330,1099
WRS322FNAM,REFRIGERATOR 22 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1099,B,1,330,330,1099
WRT518SZFM,18' TM  P.STAINLESS CONTOUR GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,849,B,1,255,255,849
MRT118FFFE,"18' TM BLACK ICE, FLAT, GLASS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,MAY,749,B,1,225,225,749
MRT118FFFH,"18' TM WHITE ICE, FLAT, GLASS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,MAY,749,B,1,225,225,749
ART106TFDW,"16' TOP FREEZER, WHITE",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,AMA,699,B,1,210,210,699
WRT106TFDW,"16' STD, TOP MOUNT, WHITE",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,699,B,1,210,210,699
