Model,Model Desc,Product Type,Product Sub-Type,Brand,MSRP,Class,Qty,Price,Total Amt
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,4598.0,B,2,690.0,1380.00
KRFC704FPS,"72"" COUNTERDEPTH FRNCH DOOR EXTERNAL I/W",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,4299.0,B,1,1290.0,1290.00
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3598.0,B,2,540.0,1080.00
MRT118FFFH,"18' TM WHITE ICE, FLAT, GLASS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,MAY,2996.0,B,4,225.0,900.00
WRS325FDAB,REFRIGERATOR 25 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,2598.0,B,2,390.0,780.00
KRFC300ESS,COUNTER DEPTH FDBM INTERNAL WATER,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2299.0,B,1,690.0,690.00
MFI2570FEZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,2199.0,B,1,660.0,660.00
KRFF300EBL,20' INTERNAL WATER FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,1999.0,B,1,600.0,600.00
WRF560SEYM,20' FRENCH DOOR BTM MOUNT EXT WATER DISP,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1899.0,B,1,570.0,570.00
KRBL109ESS,"30"" 2 DOOR BOTTOM MOUNT DRAWER",Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,KAD,1799.0,B,1,540.0,540.00
WRS571CIDM,REFRIGERATOR 21 CUFT IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1699.0,B,1,510.0,510.00
WRT518SZFM,18' TM  P.STAINLESS CONTOUR GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1698.0,B,2,255.0,510.00
WRB329DMBM,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1499.0,B,1,450.0,450.00
WRB322DMBM,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1499.0,B,1,450.0,450.00
WRF560SMYW,20' FRENCH DOOR BOTTOM MOUNT NON DISP,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1499.0,B,1,450.0,450.00
ABB1924BRM,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,AMA,1399.0,B,1,420.0,420.00
WRB322DMBW,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1399.0,B,1,420.0,420.00
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1399.0,B,1,420.0,420.00
WRS325FNAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1199.0,B,1,360.0,360.00
WRS322FDAM,REFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1199.0,B,1,360.0,360.00
WRT511SZDM,"21' TM,CONTOUR,MONO SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1099.0,B,1,330.0,330.00
WRT549SZDM,"19' GLASS TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,999.0,B,1,300.0,300.00
WRR56X18FW,"30-INCH WIDE, ALL REFRIGERATOR 18 CF",Free Standing Freezer,Sidekick Freezer/Refr Pair,WHR,899.0,B,1,306.0,306.00
WRT519SZDW,"19' GLASS TM, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,849.0,B,1,255.0,255.00
MRT118FFFE,"18' TM BLACK ICE, FLAT, GLASS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,MAY,749.0,B,1,225.0,225.00
WRT518SZFW,18' TM WHITE. CONTOUR.GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,749.0,B,1,225.0,225.00
WRT108FZDW,"18' FLAT DR, WIRE TM, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,749.0,B,1,225.0,225.00
WRT318FZDW,"18' FLAT DR, GLASS TOP MOUNT, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,749.0,B,1,225.0,225.00
MZF34X16DW,"16' UPRIGHT FRZ FROST FREE,MAYTAG",Free Standing Freezer,No Frost Vert - Free Standing Frez,MAY,649.0,B,1,221.0,221.00
