Model,Model Desc,Product Type,Product Sub-Type,Brand,MSRP,Class,Qty,Price,Total Amt
KBSN602ESS,42IN. SxS SS N.DISP,Built-in Refrigerator Freezer,No Frost Side - Built-in Refr Frez,KAD,8499.0,B,1,2890.0,2890.00
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,6897.0,B,3,782.0,2346.00
KRMF606ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3599.0,B,1,1224.0,1224.00
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,2798.0,B,2,476.0,952.00
KRFC300ESS,COUNTER DEPTH FDBM INTERNAL WATER,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2299.0,B,1,782.0,782.00
WRX735SDBH,4 DOOR DOVETAIL PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2299.0,B,1,782.0,782.00
WRF736SDAM,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2299.0,B,1,782.0,782.00
MEDB835DW,"29"", AXIAL FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,1998.0,B,2,340.0,680.00
WFE540H0ES,"30""FS ELEC CERAN CONV AQUALIFT","Freestanding, Food Preparation",Ranges,WHR,1898.0,B,2,323.0,646.00
WRT318FZDW,"18' FLAT DR, GLASS TOP MOUNT, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1498.0,B,2,255.0,510.00
KFGG500ESS,"30"" FS RANGE GAS CONV SS","Freestanding, Food Preparation",Ranges,KAD,1349.0,B,1,459.0,459.00
WFW92HEFC,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,1299.0,B,1,442.0,442.00
WZF34X16DW,"16' UPRIGHT FROST FREE OPP,WHR",Free Standing Freezer,No Frost Vert - Free Standing Frez,WHR,1298.0,B,2,221.0,442.00
WDT720PADM,DISHWASHER-FID PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,1298.0,B,2,221.0,442.00
MEDC215EW,"MAYTAG 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,1298.0,B,2,221.0,442.00
WRS322FDAM,REFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1199.0,B,1,408.0,408.00
KDTM354DSS,ROTATING INLET FILTER SS TALL TUB DW,Dishwashers,Built-in - Dishwasher,KAD,1149.0,B,1,391.0,391.00
KVWB406DSS,"KAD 36"" 400 SERIES WALLMOUNT CANOPY HOOD",Hoods,Decorative - Hoods,KAD,1149.0,B,1,391.0,391.00
WDF520PADM,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,1098.0,B,2,187.0,374.00
WTW8040DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,999.0,B,1,340.0,340.00
WRT311FZDW,"21' TM, FLAT,WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,949.0,B,1,323.0,323.00
KDTE104ESS,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,949.0,B,1,323.0,323.00
WFW75HEFW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,899.0,B,1,306.0,306.00
MVWB765FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,899.0,B,1,306.0,306.00
WRT318FMDM,"18 FLAT GLASS FACT INST IM, SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,899.0,B,1,306.0,306.00
WFC150M0EW,"30"" FS ELEC COIL STD CLEAN","Freestanding, Food Preparation",Ranges,WHR,898.0,B,2,153.0,306.00
MEDB755DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,849.0,B,1,289.0,289.00
MER6600FZ,"30"" FS ELECTRIC 5-ELEMENT AFP SS","Freestanding, Food Preparation",Ranges,MAY,849.0,B,1,289.0,289.00
WDF518SAFM,COMPACT DISHWASHER - SS TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,799.0,B,1,272.0,272.00
MGC7430DS,"30"" GAS CKTP, SS","Built-in, Food Preparation",Cooktops,MAY,799.0,B,1,272.0,272.00
G7CE3034XP,"30"" WHR GOLD RADIANT CKTP WHITE","Built-in, Food Preparation",Cooktops,WHR,799.0,B,1,272.0,272.00
WDT750SAHZ,DISHWASHER-FID SS TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,749.0,B,1,255.0,255.00
MVWC565FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,749.0,B,1,255.0,255.00
WRT108FZDB,"08' FLAT DR, WIRE TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,749.0,B,1,255.0,255.00
WFG505M0BS,"30"" GAS RANGE FW GRATE  GRIDDLE SS","Freestanding, Food Preparation",Ranges,WHR,749.0,B,1,255.0,255.00
WFE515S0ES,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,749.0,B,1,255.0,255.00
WDF760SADM,DISHWASHER-CLASSIC SS TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,749.0,B,1,255.0,255.00
