Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP
KRMF706ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Refurb,1,1229.0,1229.00,3899.0,3899.0
WRV986FDEM,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,1071.0,1071.00,3399.0,3399.0
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,4,286.0,1144.00,799.0,3196.0
KSC24C8EYY,"REFRIG-XXL 72"" CD-VBL-DUAL EVAP",Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,KAD,Refurb,1,945.0,945.00,2999.0,2999.0
WED8000DW,"29"", AXIAL FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,3,357.0,1071.00,999.0,2997.0
MVWC565FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,4,268.0,1072.00,749.0,2996.0
KRFC300ESS,COUNTER DEPTH FDBM INTERNAL WATER,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Refurb,1,725.0,725.00,2299.0,2299.0
KDTM354DSS,ROTATING INLET FILTER SS TALL TUB DW,Dishwashers,Built-in - Dishwasher,KAD,Refurb,2,411.0,822.00,1149.0,2298.0
KSEG700ESS,"30"" SI RANGE ELEC CONV ALT CLN SS","Freestanding, Food Preparation","Slide-in, Range/Cooker",KAD,Refurb,1,732.0,732.00,2049.0,2049.0
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,567.0,567.00,1799.0,1799.0
WTW4816FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,Refurb,3,214.0,642.00,599.0,1797.0
WRF560SMYM,20' FRENCH DOOR BOTTOM MOUNT NON DISP,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,504.0,504.00,1599.0,1599.0
WED7990FW,"27"" FL ALPHA HEATPUMP",Dryers,Air Vented-Dryer FL Match,WHR,Refurb,1,500.0,500.00,1399.0,1399.0
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,Refurb,1,441.0,441.00,1399.0,1399.0
MVWB955FW,"ADVANTAGE, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,1,464.0,464.00,1299.0,1299.0
MVWC415EW,"MAYTAG 27"" AGITATOR WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,2,232.0,464.00,649.0,1298.0
WED92HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,Refurb,1,428.0,428.00,1199.0,1199.0
WED4815EW,"WHIRLPOOL 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,2,214.0,428.00,599.0,1198.0
MVWB766FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,357.0,357.00,999.0,999.0
MVWB835DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,1,357.0,357.00,999.0,999.0
WEC310S0FW,WHR FRONT CTRL SELF CLEAN COIL,"Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,Refurb,1,357.0,357.00,999.0,999.0
WTW8000DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,1,357.0,357.00,999.0,999.0
WTW8040DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,1,357.0,357.00,999.0,999.0
MEDB766FW,"29"" WOD. LOOP FLOW DRYER. ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,1,357.0,357.00,999.0,999.0
RTW4516FW,TOP LD WASHR 3.5 PORCELAIN BASKET W/AGI,Washers,Vertical Axis - w/ Agitator,ROP,Refurb,2,179.0,358.00,499.0,998.0
MEDB765FW,"27"" AXIAL FLOW - ELECTRIC DOTT",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,1,321.0,321.00,899.0,899.0
WED75HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,Refurb,1,321.0,321.00,899.0,899.0
WDF520PADW,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,2,161.0,322.00,449.0,898.0
MDB8959SFZ,"16 MAYTAG SST TT 8959, GWS,PKT HAND-SST",Dishwashers,Built-in - Dishwasher,MAY,Refurb,1,303.0,303.00,849.0,849.0
WTW7000DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,1,286.0,286.00,799.0,799.0
WED7000DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,286.0,286.00,799.0,799.0
MDB8959SFE,"16 MAYTAG SST TT 8959, GWS,PKT HAND-BLK",Dishwashers,Built-in - Dishwasher,MAY,Refurb,1,268.0,268.00,749.0,749.0
WFE515S0ES,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,Refurb,1,268.0,268.00,749.0,749.0
WRT518SZFW,18' TM WHITE. CONTOUR.GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,236.0,236.00,749.0,749.0
MRT118FFFE,"18' TM BLACK ICE, FLAT, GLASS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,MAY,Refurb,1,236.0,236.00,749.0,749.0
